"Month, Year",Year,Year Name,Semester,Trimester,Month,Month Name,Week,Week Name,Temporal ID,Jobs,Δ Jobs
"January 2021, 
 Week 1",Y1,2021,S1,T1,M1,January,W1,Week 1,Y1S1T1M1W1,21,21
"January 2021, 
 Week 2",Y1,2021,S1,T1,M1,January,W2,Week 2,Y1S1T1M1W2,42,21
"January 2021, 
 Week 3",Y1,2021,S1,T1,M1,January,W3,Week 3,Y1S1T1M1W3,63,21
"January 2021, 
 Week 4",Y1,2021,S1,T1,M1,January,W4,Week 4,Y1S1T1M1W4,84,21
"February 2021, 
 Week 1",Y1,2021,S1,T1,M2,February,W1,Week 1,Y1S1T1M2W1,105,21
"February 2021, 
 Week 2",Y1,2021,S1,T1,M2,February,W2,Week 2,Y1S1T1M2W2,126,21
"February 2021, 
 Week 3",Y1,2021,S1,T1,M2,February,W3,Week 3,Y1S1T1M2W3,147,21
"February 2021, 
 Week 4",Y1,2021,S1,T1,M2,February,W4,Week 4,Y1S1T1M2W4,168,21
"March 2021, 
 Week 1",Y1,2021,S1,T1,M3,March,W1,Week 1,Y1S1T1M3W1,189,21
"March 2021, 
 Week 2",Y1,2021,S1,T1,M3,March,W2,Week 2,Y1S1T1M3W2,210,21
"March 2021, 
 Week 3",Y1,2021,S1,T1,M3,March,W3,Week 3,Y1S1T1M3W3,231,21
"March 2021, 
 Week 4",Y1,2021,S1,T1,M3,March,W4,Week 4,Y1S1T1M3W4,252,21
"April 2021, 
 Week 1",Y1,2021,S1,T1,M4,April,W1,Week 1,Y1S1T1M4W1,273,21
"April 2021, 
 Week 2",Y1,2021,S1,T1,M4,April,W2,Week 2,Y1S1T1M4W2,294,21
"April 2021, 
 Week 3",Y1,2021,S1,T1,M4,April,W3,Week 3,Y1S1T1M4W3,315,21
"April 2021, 
 Week 4",Y1,2021,S1,T1,M4,April,W4,Week 4,Y1S1T1M4W4,336,21
"May 2021, 
 Week 1",Y1,2021,S1,T2,M5,May,W1,Week 1,Y1S1T2M5W1,357,21
"May 2021, 
 Week 2",Y1,2021,S1,T2,M5,May,W2,Week 2,Y1S1T2M5W2,378,21
"May 2021, 
 Week 3",Y1,2021,S1,T2,M5,May,W3,Week 3,Y1S1T2M5W3,399,21
"May 2021, 
 Week 4",Y1,2021,S1,T2,M5,May,W4,Week 4,Y1S1T2M5W4,420,21
"June 2021, 
 Week 1",Y1,2021,S1,T2,M6,June,W1,Week 1,Y1S1T2M6W1,441,21
"June 2021, 
 Week 2",Y1,2021,S1,T2,M6,June,W2,Week 2,Y1S1T2M6W2,462,21
"June 2021, 
 Week 3",Y1,2021,S1,T2,M6,June,W3,Week 3,Y1S1T2M6W3,483,21
"June 2021, 
 Week 4",Y1,2021,S1,T2,M6,June,W4,Week 4,Y1S1T2M6W4,504,21
"July 2021, 
 Week 1",Y1,2021,S2,T2,M7,July,W1,Week 1,Y1S2T2M7W1,567,63
"July 2021, 
 Week 2",Y1,2021,S2,T2,M7,July,W2,Week 2,Y1S2T2M7W2,630,63
"July 2021, 
 Week 3",Y1,2021,S2,T2,M7,July,W3,Week 3,Y1S2T2M7W3,693,63
"July 2021, 
 Week 4",Y1,2021,S2,T2,M7,July,W4,Week 4,Y1S2T2M7W4,756,63
"August 2021, 
 Week 1",Y1,2021,S2,T2,M8,August,W1,Week 1,Y1S2T2M8W1,819,63
"August 2021, 
 Week 2",Y1,2021,S2,T2,M8,August,W2,Week 2,Y1S2T2M8W2,882,63
"August 2021, 
 Week 3",Y1,2021,S2,T2,M8,August,W3,Week 3,Y1S2T2M8W3,945,63
"August 2021, 
 Week 4",Y1,2021,S2,T2,M8,August,W4,Week 4,Y1S2T2M8W4,1008,63
"September 2021, 
 Week 1",Y1,2021,S2,T3,M9,September,W1,Week 1,Y1S2T3M9W1,1071,63
"September 2021, 
 Week 2",Y1,2021,S2,T3,M9,September,W2,Week 2,Y1S2T3M9W2,1134,63
"September 2021, 
 Week 3",Y1,2021,S2,T3,M9,September,W3,Week 3,Y1S2T3M9W3,1197,63
"September 2021, 
 Week 4",Y1,2021,S2,T3,M9,September,W4,Week 4,Y1S2T3M9W4,1260,63
"October 2021, 
 Week 1",Y1,2021,S2,T3,M10,October,W1,Week 1,Y1S2T3M10W1,1323,63
"October 2021, 
 Week 2",Y1,2021,S2,T3,M10,October,W2,Week 2,Y1S2T3M10W2,1386,63
"October 2021, 
 Week 3",Y1,2021,S2,T3,M10,October,W3,Week 3,Y1S2T3M10W3,1449,63
"October 2021, 
 Week 4",Y1,2021,S2,T3,M10,October,W4,Week 4,Y1S2T3M10W4,1512,63
